,route_id,m/s,km/h,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,transit_type
37,31816,6.4991710253817505,23.397015691374303,TL,360,Ocean Park/Peace Arch Hospital,,3,,,,Bus
205,6833,6.496381282412605,23.386972616685377,TL,N17,Downtown/UBC NightBus,,3,,,,Bus
17,29038,6.495725362935907,23.384611306569266,TL,342,Langley Centre/Newton Exchange,,3,,,,Bus
12,18705,6.416652494948603,23.099948981814972,TL,531,White Rock Centre/Willowbrook,,3,,,,Bus
42,31822,6.41624435596985,23.09847968149146,TL,741,Anderson Creek/Haney Place/Port Haney St,,3,,,,Bus
214,6844,6.414286288874171,23.091430639947017,TL,619,Boundary Bay/South Delta Recreation Centre,,3,,,,Bus
165,6728,6.397947718037756,23.03261178493592,TL,410,Richmond-Brighouse Station/22nd St Station,,3,,,,Bus
14,22638,6.394260184416251,23.019336663898503,TL,188,Coquitlam Central Station/Port Coquitlam Station,,3,,,,Bus
157,6720,6.381899731567426,22.974839033642734,TL,394,White Rock/King George Station Express,,3,,,,Bus
220,9745,6.351261112833139,22.864540006199302,TL,418,Kingswood/22nd St Station,,3,,,,Bus
210,6838,6.281557885171818,22.613608386618544,TL,N35,Downtown/SFU NightBus,,3,,,,Bus
114,6667,6.276565206829612,22.595634744586604,TL,160,Port Coquitlam Station/Kootenay Loop,,3,,,,Bus
204,6831,6.258537212700261,22.53073396572094,TL,N15,Downtown/Cambie NightBus,,3,,,,Bus
106,6659,6.239392116217132,22.461811618381677,TL,151,Coquitlam Central Station/Burquitlam Station,,3,,,,Bus
10,17707,6.224374335502235,22.407747607808048,TL,337,Fraser Heights/Guildford/Surrey Centre,,3,,,,Bus
21,30037,6.198928521023324,22.316142675683967,TL,171,Coquitlam Central Station/Fremont,,3,,,,Bus
41,31821,6.1880916136303385,22.27712980906922,TL,733,Rock Ridge/Haney Place/Port Haney Station,,3,,,,Bus
167,6737,6.1843510054455395,22.263663619603943,TL,501,Langley Centre/Surrey Central Station,,3,,,,Bus
213,6843,6.173363708906553,22.224109352063593,TL,614,English Bluff/South Delta Exchange,,3,,,,Bus
113,6666,6.154123722349694,22.1548454004589,TL,159,Coquitlam Central Station/Braid Station,,3,,,,Bus
47,34043,6.1352811086080115,22.08701199098884,TL,746,Haney Place/Albion,,3,,,,Bus
218,8289,6.082187462560518,21.895874865217866,TL,865,Samuel Robertson,,3,,,,Bus
143,6705,6.076682512733454,21.876057045840433,TL,321,White Rock/Newton/Surrey Central Station,,3,,,,Bus
22,30038,6.065878906652104,21.837164063947576,TL,172,Coquitlam Central Station/Riverside,,3,,,,Bus
206,6834,6.06043212168017,21.817555638048614,TL,N19,Downtown/Surrey Central Station NightBus,,3,,,,Bus
179,6754,6.025963231779377,21.693467634405756,TL,855,Elgin Park School Special,,3,,,,Bus
138,6700,5.994972687838481,21.581901676218532,TL,312,Scottsdale/Scott Road Station,,3,,,,Bus
208,6836,5.994303171297082,21.579491416669494,TL,N22,Downtown/Macdonald NightBus,,3,,,,Bus
216,7321,5.990313532568565,21.565128717246832,TL,375,White Rock/White Rock South/Guildford,,3,,,,Bus
119,6675,5.978655398888413,21.523159435998288,TL,214,Blueridge/Phibbs Exchange/Burrard Station,,3,,,,Bus
129,6687,5.974824191553785,21.509367089593628,TL,250,Horseshoe Bay/Dundarave/Vancouver,,3,,,,Bus
162,6725,5.9636208325707445,21.46903499725468,TL,404,Four Road/Brighouse Station,,3,,,,Bus
64,46604,5.962969057718559,21.466688607786814,TL,R6,Scott Rd,,3,,008522,FFFFFF,Bus (RapidBus)
30,30047,5.9099231930707825,21.275723495054816,TL,184,Moody Centre Station/Noons Creek,,3,,,,Bus
160,6723,5.871275931113584,21.136593352008905,TL,402,Two Road/Brighouse Station,,3,,,,Bus
117,6673,5.861721215205619,21.102196374740227,TL,211,Seymour/Phibbs Exchange/Burrard Station,,3,,,,Bus
33,30050,5.853234028144011,21.07164250131844,TL,187,Coquitlam Central Station/Parkway Blvd,,3,,,,Bus
89,6638,5.850013575380259,21.06004887136893,TL,084,UBC/VCC-Clark Station,,3,,,,Bus
151,6714,5.846125346473396,21.046051247304227,TL,345,King George Station/White Rock Centre,,3,,,,Bus
201,6828,5.828243292913337,20.981675854488014,TL,413,Riverport/Steveston,,3,,,,Bus
